"filename", "language", "C++", "YAML", "XML", "Markdown", "comment", "blank", "total"
"/home/braunbr/git/Projects/DroneController/lib/Chimera/.clang-format", "YAML", 0, 77, 0, 0, 0, 3, 80
"/home/braunbr/git/Projects/DroneController/lib/Chimera/README.md", "Markdown", 0, 0, 0, 1, 0, 1, 2
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/algorithm", "C++", 6, 0, 0, 0, 9, 4, 19
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/allocator", "C++", 5, 0, 0, 0, 9, 4, 18
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/cfg", "C++", 5, 0, 0, 0, 9, 4, 18
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/common", "C++", 9, 0, 0, 0, 9, 5, 23
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/exti", "C++", 7, 0, 0, 0, 9, 3, 19
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/function", "C++", 5, 0, 0, 0, 9, 4, 18
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/gpio", "C++", 7, 0, 0, 0, 9, 4, 20
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/interrupt", "C++", 7, 0, 0, 0, 9, 4, 20
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/power", "C++", 7, 0, 0, 0, 9, 4, 20
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/spi", "C++", 8, 0, 0, 0, 9, 4, 21
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/timer", "C++", 7, 0, 0, 0, 9, 3, 19
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/uart", "C++", 7, 0, 0, 0, 9, 3, 19
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/usart", "C++", 7, 0, 0, 0, 9, 4, 20
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/utility", "C++", 6, 0, 0, 0, 9, 4, 19
"/home/braunbr/git/Projects/DroneController/lib/Chimera/include/Chimera/watchdog", "C++", 7, 0, 0, 0, 9, 4, 20
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/algorithm/common_types.hpp", "C++", 14, 0, 0, 0, 14, 5, 33
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/algorithm/register_optimizer.cpp", "C++", 29, 0, 0, 0, 19, 8, 56
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/algorithm/register_optimizer.hpp", "C++", 21, 0, 0, 0, 27, 8, 56
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/allocator/allocator.hpp", "C++", 18, 0, 0, 0, 9, 12, 39
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/allocator/chimera_allocator.cpp", "C++", 50, 0, 0, 0, 17, 13, 80
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/assert/assert_driver.cpp", "C++", 13, 0, 0, 0, 13, 3, 29
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/assert/assert_driver.hpp", "C++", 14, 0, 0, 0, 36, 10, 60
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/assert/assert_types.hpp", "C++", 13, 0, 0, 0, 13, 5, 31
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/buffer/buffer.hpp", "C++", 38, 0, 0, 0, 142, 22, 202
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/buffer/buffer_base.hpp", "C++", 45, 0, 0, 0, 11, 12, 68
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/buffer/buffer_intf.hpp", "C++", 25, 0, 0, 0, 109, 13, 147
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/buffer/chimera_buffer.cpp", "C++", 236, 0, 0, 0, 64, 63, 363
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/callback/callback_intf.hpp", "C++", 7, 0, 0, 0, 10, 4, 21
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/callback/callback_types.hpp", "C++", 11, 0, 0, 0, 26, 8, 45
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/common/boost_stubs.cpp", "C++", 7, 0, 0, 0, 11, 3, 21
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/common/chimera.cpp", "C++", 75, 0, 0, 0, 21, 21, 117
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/common/chimera.hpp", "C++", 18, 0, 0, 0, 99, 14, 131
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/common/common_types.hpp", "C++", 86, 0, 0, 0, 16, 18, 120
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/common/compiler_intf.cpp", "C++", 48, 0, 0, 0, 22, 10, 80
"/home/braunbr/git/Projects/DroneController/lib/Chimera/source/drivers/common/compiler_intf.hpp", "C++", 23, 0, 0, 0, 22, 11, 56
