Ref,Val,Package,PosX,PosY,Rot,Side
"J8","SW_A","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",176.400000,-85.300000,0.000000,bottom
"J10","SW_B","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",165.200000,-85.300000,0.000000,bottom
"J12","SW_C","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",154.000000,-85.300000,0.000000,bottom
"J14","SW_D","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",142.800000,-85.300000,0.000000,bottom
"C1","100n","C_0402_1005Metric",181.800000,-101.500000,90.000000,top
"C2","100n","C_0402_1005Metric",159.800000,-101.400000,90.000000,top
"C3","100n","C_0402_1005Metric",131.000000,-92.700000,180.000000,top
"C4","10n","C_0402_1005Metric",122.000000,-93.400000,270.000000,top
"C5","10n","C_0402_1005Metric",122.000000,-95.400000,270.000000,top
"C6","10n","C_0402_1005Metric",122.000000,-101.400000,270.000000,top
"C7","10n","C_0402_1005Metric",121.000000,-103.400000,270.000000,top
"C8","10n","C_0402_1005Metric",121.000000,-91.400000,90.000000,top
"C9","10n","C_0402_1005Metric",122.000000,-99.400000,90.000000,top
"C10","100n","C_0402_1005Metric",152.000000,-92.600000,270.000000,top
"C11","100n","C_0402_1005Metric",177.000000,-92.000000,270.000000,top
"C12","100n","C_0402_1005Metric",156.000000,-92.600000,270.000000,top
"C13","100n","C_0402_1005Metric",140.800000,-92.600000,270.000000,top
"C14","100n","C_0402_1005Metric",165.800000,-92.000000,270.000000,top
"C15","100n","C_0402_1005Metric",144.800000,-92.600000,270.000000,top
"C16","100n","C_0402_1005Metric",163.200000,-92.600000,270.000000,top
"C17","100n","C_0402_1005Metric",154.400000,-92.200000,270.000000,top
"C18","100n","C_0402_1005Metric",167.200000,-92.600000,270.000000,top
"C19","100n","C_0402_1005Metric",174.400000,-92.600000,270.000000,top
"C20","100n","C_0402_1005Metric",143.400000,-92.200000,270.000000,top
"C21","100n","C_0402_1005Metric",178.400000,-92.600000,270.000000,top
"C22","10n","C_0402_1005Metric",178.900000,-118.500000,90.000000,top
"C23","10n","C_0402_1005Metric",174.900000,-118.500000,90.000000,top
"C24","10n","C_0402_1005Metric",170.900000,-118.500000,90.000000,top
"C25","10n","C_0402_1005Metric",166.900000,-118.500000,90.000000,top
"C26","100n","C_0402_1005Metric",143.600000,-106.000000,270.000000,top
"C27","100n","C_0402_1005Metric",137.000000,-123.100000,90.000000,top
"C28","100n","C_0402_1005Metric",133.000000,-87.500000,180.000000,top
"C29","100n","C_0402_1005Metric",153.100000,-123.600000,270.000000,top
"C30","100n","C_0402_1005Metric",141.900000,-112.020000,90.000000,top
"C31","100n","C_0402_1005Metric",156.500000,-123.600000,270.000000,top
"C32","100n","C_0402_1005Metric",126.000000,-87.500000,180.000000,top
"C33","100n","C_0402_1005Metric",146.200000,-113.400000,90.000000,top
"C34","10uF","C_0805_2012Metric",179.300000,-111.900000,90.000000,top
"C35","100n","C_0402_1005Metric",179.300000,-114.200000,180.000000,top
