"Comment","Designator","Footprint","LCSC Part #"
"100n","C3,C1,C2,C10,C12,C13,C15,C16,C18,C19,C21,C11,C14,C17,C20,C28,C30,C32,C26,C27,C35,C58,C47,C37,C40,C50,C55,C56,C57,C33,C31,C29","C_0402_1005Metric","C1525"
"10n","C8,C5,C4,C9,C7,C6,C23,C22,C25,C24","C_0402_1005Metric","C15195"
"10uF","C34,C59","C_0805_2012Metric","C28323"
"4.7uF","C38","C_0805_2012Metric","C1779"
"1uF","C44,C41,C36","C_0805_2012Metric","C28323"
"2.2uF","C52","C_0805_2012Metric","C49217"
"1.5pF","C53,C54","C_0402_1005Metric","C1552"
"LED_PGD","D1","LED_0402_1005Metric","C72043"
"LED_CHG","D2","LED_0402_1005Metric","C2286"
"STATUS_LED","D3","LED_0603_1608Metric","C72041"
"DBG_LED_2","D4","LED_0603_1608Metric","C72041"
"DBG_LED_1","D5","LED_0603_1608Metric","C72041"
"DBG_LED_0","D6","LED_0603_1608Metric","C72041"
"BT_ON","D7","LED_0603_1608Metric","C72041"
"LED_5V0","D8","LED_0402_1005Metric","C72043"
"LED_3V3","D9","LED_0402_1005Metric","C72041"
"MMBT3904","Q1","SOT-23","C20526"
"2N7002","Q2,Q3","SOT-23","C8545"
"LBSS84LT1G","Q4,Q5","SOT-23","C8492"
"10k","R1,R2,R45,R46,R47,R49,R51,R11,R7,R8,R12,R9,R10,R15,R17,R22,R23,R28,R29,R34,R35,R20,R24,R30,R36,R50,R53,R57,R62,R66,R61,R67,R64,R99,R71,R70,R98,R58,R59,R56,R100,R85,R79,R96,R97,R90,R88,R65,R91,R89","R_0402_1005Metric","C25744"
"1k","R13,R3,R4,R14,R5,R6,R18,R19,R25,R26,R31,R32,R37,R38,R16,R21,R27,R33,R40,R39,R42,R41,R44,R48,R55","R_0402_1005Metric","C11702"
"100","R43","R_0402_1005Metric","C25076"
"33","R52,R54","R_0402_1005Metric","C25105"
"330","R63","R_0402_1005Metric","C25104"
"1.5k","R68,R69,R80,R81,R60","R_0402_1005Metric","C25867"
"100k","R83,R82,R73,R84","R_0402_1005Metric","C25741"
"0","R87,R86","R_0805_2012Metric","C17477"
"560","R101,R93,R94,R95,R92","R_0402_1005Metric","C11702"
"74HC165","U3,U1,U2","SOIC-16_3.9x9.9mm_P1.27mm","C5613"
"AT24C256","U5","SOIC-8_3.9x4.9mm_P1.27mm","C6482"
"TP4056","U7","TP4056_SOP-8-PP","C16581"
"AMS1117-3.3","U8","SOT-223-3_TabPin2","C6186"
"74HC595","U11","SO-16_3.9x9.9mm_P1.27mm","C5947"
"STM32F446RETx","U13","LQFP-64_10x10mm_P0.5mm","C69336"
"8MHz Crystal","Y1","Crystal_SMD_5032-2Pin_5.0x3.2mm","C115962"
